Filename	Levels	PSNR(dB)	SSIM	MSE
kodim01.png	3	22.80	0.7866	341.08
kodim01.png	4	21.26	0.7524	486.78
kodim01.png	5	20.06	0.7396	641.81
kodim02.png	3	29.48	0.9125	73.22
kodim02.png	4	27.35	0.8944	119.64
kodim02.png	5	25.63	0.8832	178.04
kodim03.png	3	29.66	0.9216	70.27
kodim03.png	4	27.16	0.8995	125.13
kodim03.png	5	24.93	0.8851	209.11
kodim04.png	3	28.11	0.9092	100.59
kodim04.png	4	25.80	0.8844	170.90
kodim04.png	5	23.75	0.8682	274.29
kodim05.png	3	22.80	0.8325	341.50
kodim05.png	4	20.45	0.7845	586.11
kodim05.png	5	18.60	0.7565	896.84
kodim06.png	3	24.92	0.8602	209.41
kodim06.png	4	22.97	0.8392	327.81
kodim06.png	5	21.45	0.8281	466.18
kodim07.png	3	26.46	0.9038	146.88
kodim07.png	4	23.75	0.8629	273.92
kodim07.png	5	21.63	0.8400	447.15
kodim08.png	3	20.50	0.8275	579.45
kodim08.png	4	18.27	0.7862	968.54
kodim08.png	5	16.59	0.7616	1424.98
kodim09.png	3	26.50	0.9093	145.54
kodim09.png	4	24.12	0.8834	251.69
kodim09.png	5	22.27	0.8703	385.32
kodim10.png	3	26.98	0.9006	130.41
kodim10.png	4	24.76	0.8728	217.20
kodim10.png	5	22.88	0.8588	334.72
kodim11.png	3	26.22	0.8695	155.44
kodim11.png	4	24.13	0.8393	251.42
kodim11.png	5	22.30	0.8187	382.91
kodim12.png	3	27.27	0.9049	121.98
kodim12.png	4	24.79	0.8841	215.59
kodim12.png	5	22.88	0.8723	335.06
kodim13.png	3	22.22	0.8382	389.88
kodim13.png	4	20.55	0.8119	573.32
kodim13.png	5	19.30	0.7979	764.57
kodim14.png	3	25.44	0.8739	185.83
kodim14.png	4	22.99	0.8408	326.73
kodim14.png	5	21.05	0.8214	510.19
kodim15.png	3	26.83	0.9156	135.01
kodim15.png	4	23.68	0.8859	278.63
kodim15.png	5	21.37	0.8561	474.82
kodim16.png	3	29.06	0.8948	80.67
kodim16.png	4	27.18	0.8785	124.37
kodim16.png	5	25.39	0.8700	188.04
kodim17.png	3	28.28	0.9004	96.59
kodim17.png	4	25.57	0.8617	180.28
kodim17.png	5	23.39	0.8357	298.20
kodim18.png	3	25.44	0.8648	185.79
kodim18.png	4	23.47	0.8322	292.37
kodim18.png	5	21.92	0.8128	417.57
kodim19.png	3	24.61	0.8719	224.96
kodim19.png	4	22.62	0.8466	356.05
kodim19.png	5	21.06	0.8332	509.11
kodim20.png	3	26.40	0.9205	148.94
kodim20.png	4	23.93	0.8986	262.97
kodim20.png	5	21.56	0.8814	454.08
kodim21.png	3	25.41	0.8939	187.29
kodim21.png	4	23.25	0.8695	307.85
kodim21.png	5	21.38	0.8565	473.78
kodim22.png	3	27.58	0.8827	113.58
kodim22.png	4	25.50	0.8588	183.11
kodim22.png	5	23.66	0.8465	279.85
kodim23.png	3	28.78	0.9437	86.04
kodim23.png	4	26.38	0.9190	149.76
kodim23.png	5	23.77	0.8970	272.66
kodim24.png	3	24.35	0.8577	238.99
kodim24.png	4	22.48	0.8262	367.51
kodim24.png	5	20.81	0.8104	539.85
